City,Geohash,Latitude,Longitude,Longitude_SW,Latitude_SW,Longitude_NE,Latitude_NE,SeverityScore,IncidentsTotal
Toronto,dpz2jff,43.60952,-79.54853,-79.54926,43.60886,-79.54788,43.61023,0.0151,23
Toronto,dpz8f3g,43.73583,-79.3497,-79.35013,43.7352,-79.34875,43.73657,0.2049,23
Toronto,dpz8vzx,43.76745,-79.18986,-79.19083,43.76678,-79.18945,43.76816,0.0281,23
Toronto,dpz2um5,43.75359,-79.61286,-79.6138,43.75305,-79.61243,43.75443,0.0799,23
Toronto,dpz3p1m,43.77669,-79.4889,-79.4902,43.7764,-79.48883,43.77777,0.1673,22
Toronto,dpz8s4k,43.69497,-79.27091,-79.27185,43.694,-79.27048,43.69537,0.2217,22
Toronto,dpz884z,43.69724,-79.44293,-79.44351,43.69675,-79.44214,43.69812,0.0305,22
Toronto,dpz8dmq,43.71125,-79.34562,-79.34601,43.71048,-79.34464,43.71185,0.203,22
Toronto,dpz8dxq,43.722,-79.33432,-79.33502,43.72147,-79.33365,43.72284,0.0755,22
Toronto,dpz2yhs,43.75122,-79.53446,-79.53552,43.75031,-79.53415,43.75168,0.1534,22
Toronto,dpz2jv3,43.62279,-79.54984,-79.55063,43.62259,-79.54926,43.62396,0.142,22
Toronto,dpz2qvn,43.66578,-79.499,-79.49982,43.66516,-79.49844,43.66653,0.0458,22
Toronto,dpz94hh,43.79191,-79.35857,-79.35974,43.7915,-79.35837,43.79288,0.1847,22
Toronto,dpz8epv,43.72531,-79.31371,-79.31442,43.72421,-79.31305,43.72559,0.0159,21
Toronto,dpz8s58,43.7015,-79.27666,-79.27734,43.70087,-79.27597,43.70224,0.191,21
Toronto,dpz2tmk,43.71149,-79.56751,-79.56848,43.71048,-79.56711,43.71185,0.0328,21
Toronto,dpz2rjh,43.66564,-79.49102,-79.49158,43.66516,-79.4902,43.66653,0.0543,21
Toronto,dpz2zxn,43.76506,-79.46602,-79.46686,43.76404,-79.46548,43.76541,0.0572,21
Toronto,dpz2jeu,43.61512,-79.55652,-79.5575,43.61435,-79.55612,43.61572,0.0428,21
Toronto,dpz2wfj,43.69291,-79.50109,-79.50119,43.69263,-79.49982,43.694,0.0887,21
Toronto,dpz2yk6,43.74964,-79.52695,-79.52728,43.74893,-79.52591,43.75031,0.0635,21
Toronto,dpz2yhc,43.75257,-79.5392,-79.53964,43.75168,-79.53827,43.75305,0.0442,20
Toronto,dpz2n6q,43.60699,-79.52074,-79.52179,43.60611,-79.52042,43.60748,0.0162,20
Toronto,dpz2zbh,43.72628,-79.45751,-79.45862,43.72559,-79.45724,43.72696,0.0495,20
Toronto,dpz83cn,43.6443,-79.36789,-79.36798,43.64319,-79.36661,43.64456,0.1527,20
Toronto,dpz2jy2,43.6288,-79.55139,-79.552,43.62808,-79.55063,43.62946,0.2839,20
Toronto,dpz2u3t,43.73412,-79.61021,-79.61105,43.73383,-79.60968,43.7352,0.053,20
Toronto,dpz2tku,43.70845,-79.5682,-79.56848,43.70773,-79.56711,43.70911,0.2155,20
Toronto,dpz86eg,43.65845,-79.33885,-79.33914,43.65829,-79.33777,43.65967,0.0313,20
Toronto,dpz8bdw,43.7402,-79.42178,-79.42291,43.73932,-79.42154,43.74069,0.0249,20
Toronto,dpz8ujz,43.75809,-79.26748,-79.26773,43.75717,-79.26636,43.75854,0.0673,20
Toronto,dpz8ung,43.76325,-79.27219,-79.27322,43.76266,-79.27185,43.76404,0.1511,20
Toronto,dpz8b3q,43.73314,-79.43294,-79.4339,43.73245,-79.43253,43.73383,0.0666,20
Toronto,dpz8dzz,43.72529,-79.32175,-79.32266,43.72421,-79.32129,43.72559,0.0401,19
